Категория;Отрасль;Таджикский;Русский (черновик);Исправление;Таблицы
показатель;Прочее;Қабули донишҷӯён ба муассисаҳои таҳсилоти олии давлатҳои хориҷӣ;Прием студентов в учреждения высшего образования иностранных государств;;Ҷадвали 20
показатель;Прочее;Қабули донишҷӯён ба муассисаҳои таҳсилоти олии касбии ҷумҳурӣаз ҳисоби ҳамаи манбаҳои маблаѓгузорӣ- ҳамагӣ;Прием студентов в учреждения высшего профессионального образования республики - всего по всем источникам финансирования;;Ҷадвали 20
показатель;Прочее;Қабули донишҷӯён дар зинаи магистратура;Прием студентов на уровень магистратуры;;Ҷадвали 22
показатель;Прочее;идомаи таҳсилот (пас аз хатми таҳсилоти миёнаи касбӣ);продолжение образования (после окончания среднего профессионального образования);;Ҷадвали 20
показатель;Прочее;Маҳсулот аз тахта (ҳаз.сомонӣ);Продукция из древесины (тыс сомони);;Ҷадвали 37
показатель;Прочее;Тайёркунии касбии хизматчиёни давлатӣ;Профессиональная подготовка государственных служащих;;Ҷадвали 31
показатель;Прочее;Фоизи фарогирии қаламрави ҷумҳурӣ бо радиошунавонӣ (бо фоиз);Процент покрытия территории республики радиовещанием (в процентах);;Ҷадвали 29
показатель;Прочее;Фоизи фарогирии қаламрави ҷумҳурӣ бо намоишҳои телевизионӣ (бо фоиз);Процент покрытия территории республики телевизионными показами (в процентах);;Ҷадвали 29
показатель;Прочее;Дигар сарчашмаҳо;Прочие источники;;Ҷадвали 8
показатель;Прочее;Рушди соҳибкорӣ;Развитие предпринимательства;;Ҷадвали 33
показатель;Прочее;ноҳияҳои тобеи ҷумҳурӣ;районах республиканского подчинения;;Ҷадвали 16
показатель;Прочее;ҷумҳуриявӣ;республиканские;;Ҷадвали 16
показатель;Прочее;бо шаҳодатнома фаъолиятдошта (ҳазор нафар);с лицензией на деятельность (тыс. человек);;Ҷадвали 33
показатель;Прочее;бо патент фаъолият дошта (ҳазор нафар);с патентом на деятельность (тыс. человек);;Ҷадвали 33
показатель;Прочее;хоҷагии қишлоқ;сельское хозяйство;;Ҷадвали 33
показатель;Прочее;Намаки ошӣ (тонна);Соль поваренная (тонна);;Ҷадвали 37
показатель;Прочее;иншоотҳои иҷтимоӣ;социальные объекты;;Ҷадвали 33
показатель;Прочее;бо кормандони миёнаи тиббӣ (нафар к.м.т.);средними медицинскими работниками (на человека);;Ҷадвали 24
показатель;Прочее;кормандони миёнаи тиббӣ;средних медицинских работников;;Ҷадвали 24
показатель;Прочее;Таҷрибаомӯзии хизматчиёни давлатӣ;Стажировка государственных служащих;;Ҷадвали 31
показатель;Прочее;Омехтаи хушк (тонна);Сухие смеси (тонна);;Ҷадвали 37
показатель;Прочее;МОИ«Суғд»;СЭЗ «Сугд»;;Ҷадвали 36
показатель;Прочее;Театрҳо;Театры;;Ҷадвали 26
показатель;Прочее;бо муассисаҳои амбулаторию дармонгоҳӣ (қабул дар як баст);учреждениями амбулаторно-поликлинической помощи (прием в смену);;Ҷадвали 24
показатель;Прочее;бо муассисаҳои таҳсилоти умумӣбарои 1000 бачагони синни мактабӣ(ҷой);учреждениями общего образования на 1000 детей школьного возраста (мест);;Ҷадвали 23
показатель;Прочее;Писта (тонна);Фисташки (тонна);;Ҷадвали 37
показатель;Прочее;бо методи кимиёвӣ;химическим методом;;Ҷадвали 9
показатель;Прочее;Семент (тонна);Цемент (тонна);;Ҷадвали 37
показатель;Прочее;Марказҳои фарҳангӣ;Центры культуры;;Ҷадвали 26
показатель;Прочее;муассисаҳои амбулаторию дармонгоҳҳои хуссусӣ;частные амбулаторно-поликлинические учреждения;;Ҷадвали 24
показатель;Прочее;клиникаҳои (беморхонаҳои) хусусӣ;частные клиники (больницы);;Ҷадвали 24
показатель;Прочее;хусусӣ;частных;;Ҷадвали 29
показатель;Прочее;Сангу шаѓал (тонна);Щебень и гравий (тонна);;Ҷадвали 37
показатель;Сельское хозяйство;зардолу;абрикосы;;Ҷадвали 10, Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;Амнияти зироатҳои кишоварзӣ аз касалӣ ва ҳашаротҳои зараркунанда –ҳамагӣ : (ҳаз.га);Безопасность сельскохозяйственных культур от болезней и вредных насекомых – всего: (тыс.га);;Ҷадвали 9
показатель;Сельское хозяйство;аз он ҷумла: пиёз;в том числе лук;;Ҷадвали 10, Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;аз он пиёз дар ҷумҳурӣ ҳамагӣ;в том числе лук в республике всего;;Ҷадвали 11
показатель;Сельское хозяйство;аз он модагов;в том числе матки;;Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;аз он ҷумла гандум;в том числе пшеница;;Ҷадвали 10
показатель;Сельское хозяйство;аз он: гандум;в том числе пшеница;;Ҷадвали 10
показатель;Сельское хозяйство;аз он ҷумла: тухмакдор;в том числе семечковые;;Ҷадвали 10, Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;аз он: себ;в том числе яблоки;;Ҷадвали 10, Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;аз он ҷумла: модагов;в том числе: коровы;;Ҷадвали 10
показатель;Сельское хозяйство;аз он ҷумла :пиёз;в том числе: лук;;Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;аз он ҷумла: гӯшти мурғ;в том числе: мясо птицы;;Ҷадвали 10
показатель;Сельское хозяйство;аз он ҷумла: обӣ;в том числе: орошаемые;;Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;аз он ҷумла: гандум;в том числе: пшеница;;Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;аз он ҷумла: себ;в том числе: яблоки;;Ҷадвали 10
показатель;Сельское хозяйство;ангур;виноград;;Ҷадвали 10, Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;Ангур;Виноград;;Ҷадвали 10, Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;Ангур дар ҷумҳурӣ ҳамагӣ;Виноград в республике всего;;Ҷадвали 11
показатель;Сельское хозяйство;ВМКБ;ВМКБ;;Ҷадвали 11
показатель;Сельское хозяйство;сабзӣ;зелень;;Ҷадвали 10, Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;Замини шудгор;Земли пашни;;Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;Ғалладона;зерновые;;Ҷадвали 10
показатель;Сельское хозяйство;ғалладона;зерновые;;Ҷадвали 10, Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;Ғалладона дар ҷумҳурӣ ҳамагӣ;Зерновые в республике всего;;Ҷадвали 11
показатель;Сельское хозяйство;аз он обӣ;из воды;;Ҷадвали 10
показатель;Сельское хозяйство;картошка;картофель;;Ҷадвали 10, Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;Картошка;картофель;;Ҷадвали 10, Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;Картошка дар ҷумҳурӣ ҳамагӣ;Картофель в республике всего;;Ҷадвали 11
показатель;Сельское хозяйство;Шумораи хоҷагиҳои деҳқонӣ (фермерӣ);Количество фермерских хозяйств;;Ҷадвали 33
показатель;Сельское хозяйство;Полезии хӯрокворӣ;кормовые корнеплоды;;Ҷадвали 10
показатель;Сельское хозяйство;зироатҳои хӯроки чорво;кормовые культуры;;Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;донакдор;косточковые;;Ҷадвали 10, Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;ҳайвони калони шохдор;крупный рогатый скот;;Ҷадвали 10, Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;Асп;Лошади;;Ҷадвали 10, Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;Асал;Мед;;Ҷадвали 10, Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;Асал дар ҷумҳурӣ ҳамагӣ;Мед в республике всего;;Ҷадвали 11
показатель;Сельское хозяйство;Шир;Молоко;;Ҷадвали 10, Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;Шир дар ҷумҳурӣ ҳамагӣ;Молоко в республике всего;;Ҷадвали 11
показатель;Сельское хозяйство;полизӣ;морковь;;Ҷадвали 10, Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;Гушт бо вазни зинда дар ҷумҳурӣ ҳамагӣ;Мясо с живым весом в республике всего;;Ҷадвали 11
показатель;Сельское хозяйство;Гӯшти чорво ва парранда бо вазни зинда;Мясо скота и птицы в живом весе;;Ҷадвали 10, Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;Заминҳои нави аз худашаванда (гектар);Новые орошаемые земли (гектар);;Ҷадвали 9
показатель;Сельское хозяйство;Майдони умумии кишоварзӣ аз рӯи ҳамаи шаклҳои хоҷагидорӣ- га;Общая площадь сельскохозяйственных земель по всем формам хозяйствования - га;;Ҷадвали 10
показатель;Сельское хозяйство;Саршумори чорво ва парранда - сар;Общий поголовье скота и птицы - голов;;Ҷадвали 10
показатель;Сельское хозяйство;Саршумори чорво ва парранда (сар);Общий поголовье скота и птицы (голов);;Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;мевагӣ;овощеводство;;Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;сабзавот;овощи;;Ҷадвали 10, Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;Сабзавот;овощи;;Ҷадвали 10, Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;Сабзавот дар ҷумҳурӣ ҳамагӣ;Овощи в республике всего;;Ҷадвали 11
показатель;Сельское хозяйство;Бузу гӯсфанд;Овцы;;Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;бузу гӯсфанд;овцы и козы;;Ҷадвали 10
показатель;Сельское хозяйство;полезӣ;плодоводство;;Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;майдони ангур;площадь виноградников;;Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;Майдони ангур;Площадь виноградников;;Ҷадвали 10
показатель;Сельское хозяйство;Майдони боғҳои мевадиҳанда;Площадь плодово-ягодных садов;;Ҷадвали 10
показатель;Сельское хозяйство;майдони боғҳои мевадиҳанда-ҳазор га);площадь плодово-ягодных садов - тыс. га;;Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;Полезӣ дар ҷумҳурӣ ҳамагӣ;Полезность в республике всего;;Ҷадвали 11
показатель;Сельское хозяйство;Истеҳсоли маҳсулоти чорводорӣ - тонна;Производство продукции животноводства - тонна;;Ҷадвали 10
показатель;Сельское хозяйство;Истеҳсоли маҳсулоти чорводорӣ (тонна);Производство продукции животноводства (тонн);;Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;Истеҳсоли маҳсулоти зироатҳои кишоварзӣ (тонна);Производство сельскохозяйственной продукции (тонна);;Ҷадвали 10, Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;парранда;птица;;Ҷадвали 10
показатель;Сельское хозяйство;Парранда;Птица;;Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;Полизӣ;Пшеница;;Ҷадвали 10, Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;Моҳӣ;Рыба;;Ҷадвали 10, Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;Мазра-ҳамагӣ;Сельскохозяйственные угодья - всего;;Ҷадвали 10
показатель;Сельское хозяйство;вилояти Суғд;Согдийская область;;Ҷадвали 11, Ҷадвали 16
показатель;Сельское хозяйство;ҳосилнокии зироатҳои кишоварзӣ с/га;урожайность сельскохозяйственных культур с/га;;Ҷадвали 10, Ҷадвали 10А, Ҷадвали 10Б
показатель;Сельское хозяйство;Ҳосилнокии зироатҳои кишоварзӣ с/га;Урожайность сельскохозяйственных культур с/га;;Ҷадвали 10В
показатель;Сельское хозяйство;Мевагӣ;фрукты;;Ҷадвали 10, Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;Мева дар ҷумҳурӣ ҳамагӣ;Фрукты в республике всего;;Ҷадвали 11
показатель;Сельское хозяйство;вилояти Хатлон;Хатлонская область;;Ҷадвали 11, Ҷадвали 16
показатель;Сельское хозяйство;пахта;хлопок;;Ҷадвали 10, Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;Пахта;хлопок;;Ҷадвали 10, Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;Пахта дар ҷумҳурӣ ҳамагӣ;Хлопок в республике всего;;Ҷадвали 11
показатель;Сельское хозяйство;Пилла;Шелк;;Ҷадвали 10, Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;Пилла дар ҷумҳурӣ ҳамагӣ;Шелк в республике всего;;Ҷадвали 11
показатель;Сельское хозяйство;Пашм;Шерсть;;Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Сельское хозяйство;Пашм дар ҷумҳурӣ ҳамагӣ;Шерсть в республике всего;;Ҷадвали 11
показатель;Сельское хозяйство;Пашм бо вазни физикӣ;Шерсть по физическому весу;;Ҷадвали 10
показатель;Сельское хозяйство;Тухм -ҳаз дона дар ҷумҳурӣ ҳамагӣ;Яйца - тыс. штук в республике всего;;Ҷадвали 11
показатель;Сельское хозяйство;Тухм – дона;Яйца - штуки;;Ҷадвали 10
показатель;Сельское хозяйство;Тухм – млн. дона;Яйца – млн. штук;;Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
показатель;Строительство;Конструксияи метали ва масолењи сохтмони (тонна);Металлические конструкции и строительные материалы (тонна);;Ҷадвали 37
показатель;Строительство;сохтмонҳои нотамом;незавершенное строительство;;Ҷадвали 33
показатель;Строительство;Сохтмони шабакаҳои обӣ (км);Строительство водопроводных сетей (км);;Ҷадвали 9
показатель;Торговля и услуги;Профилҳои алюминӣ (ҳаз.дол);Алюминиевые профили (тыс. долларов);;Ҷадвали 39
показатель;Торговля и услуги;бензин тонна/ҳаз.дол;Бензин тонна/тыс. долларов;;Ҷадвали 39
показатель;Торговля и услуги;хизматрасонии маишӣ;бытовые услуги;;Ҷадвали 33
показатель;Торговля и услуги;аз он ҷумла, сайёҳоне, ки тибқи ширкатҳои сайёҳии ватанӣ хизмат расонида шудаанд (млн.сомонӣ);В том числе туристы, обслуженные национальными туристическими компаниями (млн. сомони);;Ҷадвали 32
показатель;Торговля и услуги;аз он ҷумла, сайёҳоне, ки тибқи ширкатҳои сайёҳии ватанӣ хизмат расонида шудаанд (ҳазор нафар);В том числе туристы, обслуженные национальными туристическими компаниями (тыс. человек);;Ҷадвали 32
показатель;Торговля и услуги;аз он: содирот;в том числе: экспорт;;Ҷадвали 18
показатель;Торговля и услуги;Сайёҳии дохилӣ;Внутренний туризм;;Ҷадвали 32
показатель;Торговля и услуги;Газвори нассоҷӣ ва маснуот аз он;Газовые резиновые изделия и продукты из них;;Ҷадвали 19
показатель;Торговля и услуги;сӯзишвории дизелӣ;дизельное топливо;;Ҷадвали 19
показатель;Торговля и услуги;сузишвории дизели тонна/ҳаз.дол;Дизельное топливо тонна/тыс. долларов;;Ҷадвали 39
показатель;Торговля и услуги;Чӯбу тахта ва маснуот аз он;Древесина и изделия из нее;;Ҷадвали 19
показатель;Торговля и услуги;Тандурусти ва хизматрасониҳои иҷтимоӣ;Здравоохранение и социальные услуги;;Ҷадвали 35
показатель;Торговля и услуги;Воридот;Импорт;;Ҷадвали 19
показатель;Торговля и услуги;Гилхок;Керамическая плитка;;Ҷадвали 19
показатель;Торговля и услуги;Китобҳо (китобҳои дарсӣ, илмӣ, адабиётҳои бадеӣ ва кӯдакона, нашри содироти обунавӣ, теъдоди нашри шартии солона 10 варақ ва зиёда) (ҳазор дона);Книги (учебники, научные, художественные и детские, выпуск периодических изданий, годовой тираж 10 страниц и более) (тыс. экз.);;Ҷадвали 30
показатель;Торговля и услуги;Шумораи сайёҳони дохилӣ (ҳазор нафар);Количество внутренних туристов (тыс. человек);;Ҷадвали 32
показатель;Торговля и услуги;Шумораи ширкатҳои сайёҳӣ;Количество туристических компаний;;Ҷадвали 32
показатель;Торговля и услуги;Шумораи сайёҳоне, ки аз қаламрави ҷумҳурӣ берун сафар менамоянд (ҳазор нафар);Количество туристов, выезжающих за пределы республики (тыс. человек);;Ҷадвали 32
показатель;Торговля и услуги;хизматрасонии коммуналӣ;коммунальные услуги;;Ҷадвали 33
показатель;Торговля и услуги;Фарҳангу санъат;Культура и искусство;;Ҷадвали 35
показатель;Торговля и услуги;Хизматрасонии логистикӣ ва нақлиётӣ(ҳазор сомонӣ);Логистические и транспортные услуги (тыс сомони);;Ҷадвали 38
показатель;Торговля и услуги;пиёз;лук;;Ҷадвали 19
показатель;Торговля и услуги;Сузишвории нафти тонна/ҳаз.дол;Мазут тонна/тыс. долларов;;Ҷадвали 39
показатель;Торговля и услуги;мазут тонна/ ҳаз.дол;Мазут тонна/тыс. долларов;;Ҷадвали 39
показатель;Торговля и услуги;Маҳсулоти макаронӣ;Макаронные изделия;;Ҷадвали 19
показатель;Торговля и услуги;Мошинолот ва таҷҳизот;Машины и оборудование;;Ҷадвали 19
показатель;Торговля и услуги;Нуриҳои минералӣ;Минеральные удобрения;;Ҷадвали 19
показатель;Торговля и услуги;МОИ «Суғд»;МОИ «Сугд»;;Ҷадвали 37, Ҷадвали 39
показатель;Торговля и услуги;Шир ва маҳсулоти ширӣ;Молоко и молочные продукты;;Ҷадвали 19
показатель;Торговля и услуги;Гӯшт ва маҳсулоти гӯштӣ;Мясо и мясные продукты;;Ҷадвали 19
показатель;Торговля и услуги;Маҳсулоти нафтӣ;Нефтепродукты;;Ҷадвали 19
показатель;Торговля и услуги;МОИ «Данғара»;ОАО «Данғара»;;Ҷадвали 38, Ҷадвали 39
показатель;Торговля и услуги;МОИ «Ишкошим»;ОАО «Ишкошим»;;Ҷадвали 38, Ҷадвали 39
показатель;Торговля и услуги;МОИ«Кӯлоб»;ОАО «Кӯлоб»;;Ҷадвали 36, Ҷадвали 38, Ҷадвали 39
показатель;Торговля и услуги;МОИ «Панҷ»;ОАО «Панҷ»;;Ҷадвали 38
показатель;Торговля и услуги;Маориф;Образование;;Ҷадвали 35
показатель;Торговля и услуги;Маҳсулоти ҷӯроб;обувная продукция;;Ҷадвали 19
показатель;Торговля и услуги;Пойафзол;Обувь;;Ҷадвали 19
показатель;Торговля и услуги;Шумораи умумии сайёҳони ба қаламрави ҷумҳурӣ воридшаванда (ҳазор нафар);Общее количество туристов, въезжающих на территорию республики (тыс. человек);;Ҷадвали 32
показатель;Торговля и услуги;Ҳаҷми умумии гардиши савдои дохилӣ дар ҳамаи соҳаҳо;Общий объем внутреннего товарооборота во всех секторах;;Ҷадвали 17
показатель;Торговля и услуги;ҳаҷми умумии маблағҳои даромадшуда аз ҳисоби сайёҳони дохилӣ (млн. сомонӣ);Общий объем доходов от внутренних туристов (млн. сомони);;Ҷадвали 32
показатель;Торговля и услуги;ҳаҷми умумии маблағҳои даромад шуда аз ҳисоби сайёҳони ба қаламрави ҷумҳурӣ воридшаванда (млн. сомонӣ);Общий объем доходов от туристов, въезжающих на территорию республики (млн. сомони);;Ҷадвали 32
показатель;Торговля и услуги;Ҳаҷми умумии хизматрасонии пулакӣ дар ҳамаи соҳаҳо;Общий объем платных услуг во всех секторах;;Ҷадвали 17
показатель;Торговля и услуги;Ҳаҷми хизматрасониҳо (млн. сомонӣ);Объем услуг (млн. сомони);;Ҷадвали 36
показатель;Торговля и услуги;Ҳаҷми хизматросонии меҳмонхонаҳо ва тарабхонаҳо;Объем услуг гостиниц и ресторанов;;Ҷадвали 17
показатель;Торговля и услуги;Ҳаҷми содирот млн.доллар;Объем экспорта (млн. долларов);;Ҷадвали 36
показатель;Торговля и услуги;Ҳаљми содирот млн.доллар;Объем экспорта (млн. долларов);;Ҷадвали 36
показатель;Торговля и услуги;Савдои яклухт, чакана ва таъмири автомобилҳо;Оптовая и розничная торговля, ремонт автомобилей;;Ҷадвали 35
показатель;Торговля и услуги;Меҳмонхонаҳо ва тарабхонаҳо;Отели и рестораны;;Ҷадвали 35
показатель;Торговля и услуги;Аллюминийи аввалия;Первичный алюминий;;Ҷадвали 19
показатель;Торговля и услуги;Номги молу маҳсулот;Перечень товаров и продукции;;Ҷадвали 39
показатель;Торговля и услуги;Номгӯи молу маҳсулот;Перечень товаров и продукции;;Ҷадвали 39
показатель;Торговля и услуги;Маҳсулоти пластикӣ (ҳаз.дол);Пластмассовые изделия (тыс. долларов);;Ҷадвали 39
показатель;Торговля и услуги;Аз ҳисоби рухсатномаҳо, хизматрасонии нақлиётӣ, бехатарӣ, суғуртавӣ ва ғайра (сомонӣ);По лицензиям, транспортные услуги, безопасность, страхование и др. (сомони);;Ҷадвали 38
показатель;Торговля и услуги;Зичкунак барои профил (ҳаз.дол);Покрытие для профилей (тыс. долларов);;Ҷадвали 39
показатель;Торговля и услуги;Гази табии;Природный газ;;Ҷадвали 19
показатель;Торговля и услуги;Саноат ва энергетика;Промышленность и энергетика;;Ҷадвали 35
показатель;Торговля и услуги;Дигар махсулот;Прочая продукция;;Ҷадвали 19
показатель;Торговля и услуги;Дигар намуди мањсулот;Прочие виды продукции;;Ҷадвали 37, Ҷадвали 39
показатель;Торговля и услуги;Дигар намуди маҳсулот;Прочие виды продукции;;Ҷадвали 37, Ҷадвали 39
показатель;Торговля и услуги;Дигар намуди хизматрасонӣ;Прочие виды услуг;;Ҷадвали 38
показатель;Торговля и услуги;Дигар хизматрасониҳо;Прочие услуги;;Ҷадвали 35
показатель;Торговля и услуги;Гандум;Пшеница;;Ҷадвали 19
показатель;Торговля и услуги;гардиши савдои чакана;розничный товарооборот;;Ҷадвали 17
показатель;Торговля и услуги;Маъданҳо ва консентратҳо;Руды и концентраты;;Ҷадвали 19
показатель;Торговля и услуги;Тарози савдои хориҷӣ;Сальдо внешней торговли;;Ҷадвали 18
показатель;Торговля и услуги;Шакар;Сахар;;Ҷадвали 19
показатель;Торговля и услуги;қанд ва маҳсулоти қаннодӣ;Сахар и сахарные изделия;;Ҷадвали 19
показатель;Торговля и услуги;Алоқа, радио, телевизион ва информатика;Связь, радио, телевидение и информатика;;Ҷадвали 35
показатель;Торговля и услуги;Кишоварзӣ(аз ҷумла: хоҷагии ҷангал, шикор ва моҳидорӣ);Сельское хозяйство (в том числе: лесное хозяйство, охота и рыбоводство);;Ҷадвали 35
показатель;Торговля и услуги;Гази моеъ;Сжиженный газ;;Ҷадвали 19
показатель;Торговля и услуги;Тарифҳои миёнаи қувваи барқ – дирам ба 1 кВт. Соат;Средние тарифы на электроэнергию - дирам за 1 кВт·ч;;Ҷадвали 34
показатель;Торговля и услуги;Маҳсулоти сохтмонии рангубор (ҳаз.дол);Строительные краски (тыс. долларов);;Ҷадвали 39
показатель;Торговля и услуги;Сохтмон;Строительство;;Ҷадвали 35
показатель;Торговля и услуги;Тарифҳои таъминоти оби нушокӣ ва системаи фозилоб дар ш. Душанбе барои 1 м3 ба ҳисоби сомонӣ;Тарифы на питьевую воду и канализацию в г. Душанбе за 1 м3 в сомони;;Ҷадвали 34
показатель;Торговля и услуги;Маҳсулоти бофандагӣ;текстильная продукция;;Ҷадвали 19
показатель;Торговля и услуги;Алоқаи телефонӣ-дирам ба 1 дақиқа;Телефонная связь - дирам за 1 минуту;;Ҷадвали 34
показатель;Торговля и услуги;Гардиши савдои хориҷӣ;Товарооборот;;Ҷадвали 18, Ҷадвали 19
показатель;Торговля и услуги;савдо;торговля;;Ҷадвали 33
показатель;Торговля и услуги;Нақлиёт ва роҳҳо;Транспорт и связь;;Ҷадвали 35
показатель;Торговля и услуги;Воситаҳои нақлиёт;Транспортные средства;;Ҷадвали 19
показатель;Торговля и услуги;Равѓани растанӣ ва чорво;Удобрения растительного и животного происхождения;;Ҷадвали 19
показатель;Торговля и услуги;Хизматрасони барои ворид шудан ба ҳудуди МОИ (ҳаз.сом);Услуги по въезду на территорию ОАО (тыс сомони);;Ҷадвали 38
показатель;Торговля и услуги;Фаъоляти молиявӣ, бонкӣ, амалиёт бо амволи ғайриманқул ва идора;Финансовая деятельность, банковское дело, операции с недвижимостью и управление;;Ҷадвали 35
показатель;Торговля и услуги;Маҳсулоти меваю сабзавот;Фрукты и овощи;;Ҷадвали 19
показатель;Торговля и услуги;х;х;;Ҷадвали 34
показатель;Торговля и услуги;Матоъҳои пахтагин;хлопчатобумажные ткани;;Ҷадвали 19
показатель;Торговля и услуги;Чой;Чай;;Ҷадвали 19
показатель;Торговля и услуги;Муассисаи таълимии ғайридавлатии Коллеҷи техникии шаҳри Хуҷанд (ҳаз.сом);Частное образовательное учреждение Колледж техники г. Худжанда (тыс сомони);;Ҷадвали 38
показатель;Торговля и услуги;Содирот;Экспорт;;Ҷадвали 19
показатель;Торговля и услуги;Ноқилҳои барқӣ (ҳаз.дол);Электрические лампы (тыс. долларов);;Ҷадвали 39
показатель;Торговля и услуги;савдои электронӣ;электронная торговля;;Ҷадвали 17
показатель;Торговля и услуги;хизматрасонии электронӣ;электронные услуги;;Ҷадвали 17
показатель;Торговля и услуги;Нерӯи барқ;электроэнергия;;Ҷадвали 19
показатель;Транспорт и связь;бо нақлиёти автомобилӣ – ҳамагӣ;автомобильным транспортом – всего;;Ҷадвали 15
показатель;Транспорт и связь;бо нақлиёти автомобилӣ ҳамагӣ;автомобильным транспортом всего;;Ҷадвали 15
показатель;Транспорт и связь;аз он - мусофиркашонии байналхалқӣ;в том числе международные пассажирские перевозки;;Ҷадвали 15
показатель;Транспорт и связь;аз он - боркашонии байналхалқӣ;в том числе международные перевозки;;Ҷадвали 15
показатель;Транспорт и связь;аз он - мусофиргардиши байналхалқӣ;в том числе международный пассажирооборот;;Ҷадвали 15
показатель;Транспорт и связь;бо нақлиёти ҳавоӣ;воздушным транспортом;;Ҷадвали 15
показатель;Транспорт и связь;Гардиши бор – ҳамагӣ (млн.т/км);Грузооборот – всего (млн.т/км);;Ҷадвали 15
показатель;Транспорт и связь;Даромад аз фаъолияти асосии соҳаи алоқа (млн. сомонӣ);Доход от основной деятельности сферы связи (млн сомони);;Ҷадвали 28
показатель;Транспорт и связь;бо нақлиёти роҳи оҳан;железнодорожным транспортом;;Ҷадвали 15
показатель;Транспорт и связь;Шумораи истифодабарандагони алоқаи сотӣ (ҳаз. мушт);Количество абонентов сотовой связи (тыс абонентов);;Ҷадвали 28
показатель;Транспорт и связь;Шумораи дастгоҳҳои телефоҳҳои асосӣ (ҳаз. адад);Количество основных телефонных аппаратов (тыс единиц);;Ҷадвали 28
